Finixtahv,INSANITY,14+,994024
いざ、参ります,MASTER,13+,999800
VEZZELiX,MASTER,14,998242
VEZZELiX,INSANITY,15+,990572
Maze,MASTER,14,998201
Maze,INSANITY,15,996619
タマモッチ,MASTER,13+,0
タマモッチ,INSANITY,14+,996535
キユビック,MASTER,13,0
キユビック,INSANITY,15,998305
テウメッサ,MASTER,13+,997661
テウメッサ,INSANITY,14+,999859
"Hello LimitBreak³r!!!",MASTER,13,994043
"Roll over Cubic",MASTER,11,0
"Roll over Cubic",INSANITY,13,0
ULTRARENDA1,MASTER,14+,995726
Mr.RENDA,MASTER,15,993663
"RENDA JOCEKY",MASTER,13+,997268
"RENDA JOCEKY",INSANITY,15,999038
Noesis,MASTER,13+,0
NightTheater,MASTER,13,1000000
NightTheater,INSANITY,14+,999860
"Bright Star Tactics",MASTER,13+,994800
"Bright Star Tactics",INSANITY,15,996984
"Yabai-Jan (Game Edit.)",MASTER,13+,0
"銀世廻 -Alternative-",MASTER,14,995476
OMG,MASTER,13+,997405
OMG,INSANITY,15,997962
RESISTANCE,MASTER,11+,0
RESISTANCE,INSANITY,13+,0
"Marble Rush!n‘",MASTER,13+,1000000
"Rain Palette",MASTER,11,0
"As the Wind Dictates",MASTER,13+,998956
"Still Be，Will Be",MASTER,14+,995719
"Crowning End",MASTER,12+,0
"Crowning End",INSANITY,13+,999842
"ミラクルサマータイム(Radio Edit)",MASTER,11,0
"ミラクルサマータイム(Radio Edit)",INSANITY,14,995369
"FREEDOM DiVE↓",MASTER,15,998425
"FREEDOM DiVE↓",INSANITY,16,992709
"Drop my DAW",MASTER,14,998520
"Drop my DAW",INSANITY,13,1000000
"Steer for Next Planet",MASTER,13,984315
天照らす律動,MASTER,14+,997309
"Grayed Out-Antifront-",MASTER,14,999644
"Grayed Out-Antifront-",INSANITY,15+,999455
"Gravisphere Crisis",MASTER,14,999876
"Gravisphere Crisis",INSANITY,15+,995934
KERBEROX,MASTER,15+,993259
"Last Noble Flame",MASTER,14+,995080
"Stay here",MASTER,11+,0
"A W A K E",MASTER,13,999189
"A W A K E",INSANITY,14+,996889
"Ops:Limone -FINAL EX-",MASTER,14,999909
"Ops:Limone -FINAL EX-",INSANITY,15,998203
"From Nought",MASTER,14,998941
"From Nought",INSANITY,15+,996752
天Q.,MASTER,13+,0
天Q.,INSANITY,15,997731
devil¿la6ue,MASTER,13,0
