Title,Diff,Level,Const,Score,Clear,"Full Combo","All Justice","Full Chain",Genre
マトリョシカ,EXP,9.5,9.5,1002419,1,0,0,0,niconico
ゴーストルール,EXP,9.5,9.5,984861,1,0,0,0,niconico
ゴーストルール,MAS,13.5,13.7,1004017,1,0,0,0,niconico
頓珍漢の宴,MAS,14,14.1,1004871,1,0,0,0,niconico
"Super Lovely (Heavenly Remix)",MAS,14,14.3,1009317,1,0,0,0,VARIETY
"管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2",MAS,14.5,14.5,1009625,1,1,0,0,イロドリミドリ
ウサテイ,EXP,9.5,9.5,992909,1,0,0,0,東方Project
ウサテイ,MAS,13.5,13.8,1009953,1,1,1,0,東方Project
"Dual Fractal",MAS,13.5,13.9,1008998,1,0,0,0,ORIGINAL
"Surveiller et punir",MAS,15,15.1,1008276,1,0,0,0,ORIGINAL
"業 -善なる神とこの世の悪について-",EXP,14,14.2,1008705,1,0,0,0,ORIGINAL
"業 -善なる神とこの世の悪について-",MAS,15.5,15.6,1003094,1,0,0,0,ORIGINAL
"End Time",EXP,13.5,13.7,1006203,1,1,0,0,VARIETY
"End Time",MAS,15,15.1,1008617,1,0,0,0,VARIETY
volcanic,MAS,14,14.4,1009981,1,1,1,0,VARIETY
アンノウン・マザーグース,EXP,9,9,997985,1,0,0,0,niconico
アンノウン・マザーグース,MAS,13.5,13.8,1009931,1,1,1,0,niconico
サドマミホリック,MAS,14,14.2,1010000,1,1,1,0,東方Project
サドマミホリック,ULT,14.5,14.9,1009764,1,1,0,0,東方Project
初音ミクの激唱,EXP,13,13,1005639,1,1,0,0,niconico
初音ミクの激唱,MAS,14.5,14.8,1009957,1,1,1,0,niconico
きゅうりバーにダイブ,MAS,14,14.4,1006443,1,0,0,0,東方Project
むしとりのうた,MAS,11,11,1009125,1,1,0,0,VARIETY
ミリオン／ワンズ,MAS,13.5,13.7,978419,0,0,0,0,niconico
"フリィダム ロリィタ",MAS,11.5,11.7,1008733,1,0,0,0,niconico
"DAYBREAK FRONTLINE",EXP,9,9,994775,1,0,0,0,niconico
"DAYBREAK FRONTLINE",MAS,11.5,11.5,1007794,1,0,0,0,niconico
"ナイト・オブ・ナイツ (Cranky Remix)",EXP,10,10,1004536,1,0,0,0,東方Project
"ナイト・オブ・ナイツ (Cranky Remix)",MAS,14,14.1,1009265,1,0,0,0,東方Project
"Brain Power",MAS,14,14.3,1009973,1,1,1,0,VARIETY
"ouroboros -twin stroke of the end-",MAS,14.5,14.8,1009912,1,1,1,0,VARIETY
GERBERA,MAS,14.5,14.6,1009239,1,0,0,0,VARIETY
"Taiko Drum Monster",MAS,14,14.3,995240,1,0,0,0,VARIETY
Nhelv,MAS,14.5,14.7,1009968,1,1,1,0,VARIETY
PUPA,MAS,14.5,14.6,1009952,1,1,1,0,VARIETY
ハートアタック,MAS,14,14.4,1007939,1,0,0,0,ORIGINAL
folern,MAS,14.5,14.7,1009905,1,1,1,0,ORIGINAL
2DVenture,MAS,13,13.3,1009994,1,1,1,0,ORIGINAL
ぜったい！昇天★鎮魂歌♂,MAS,14,14.3,1008767,1,0,0,0,ORIGINAL
"夕焼けのRed Parade",MAS,14.5,14.9,1009569,1,1,0,0,ORIGINAL
StufeStern,MAS,14,14.3,1003764,1,0,0,0,ORIGINAL
スピカの天秤,MAS,14.5,14.8,1009949,1,1,1,0,ORIGINAL
Life,MAS,14,14.1,1009380,1,0,0,0,ORIGINAL
Sqlupp,MAS,14,14.4,1009079,1,0,0,0,ORIGINAL
Climax,EXP,13,13.4,1001220,1,0,0,0,ORIGINAL
Climax,MAS,15,15,1008599,1,0,0,0,ORIGINAL
larva,MAS,14.5,14.7,1009899,1,1,1,0,ゲキマイ
ロキ,ULT,14,14,1008201,1,1,0,0,niconico
"Innocent Truth",MAS,14,14,1009404,1,0,0,0,ORIGINAL
"CITRUS MONSTER",MAS,14.5,14.6,1009831,1,1,1,0,ゲキマイ
"Ai Nov",EXP,12,12.3,1003868,1,0,0,0,ゲキマイ
"Ai Nov",MAS,14.5,14.8,1009329,1,0,0,0,ゲキマイ
アイリちゃんは暗黒魔導士!,MAS,14,14,1008348,1,0,0,0,ORIGINAL
電光石火,MAS,15,15,1009331,1,0,0,0,ORIGINAL
ゴールドビジョン,MAS,14,14.3,1008778,1,1,0,0,東方Project
"Fracture Ray",MAS,14.5,14.7,1009412,1,1,0,0,VARIETY
"Axium Crisis",MAS,13.5,13.7,1009959,1,1,1,0,VARIETY
"Grievous Lady",EXP,12,12.4,1001680,1,0,0,0,VARIETY
"Grievous Lady",MAS,14.5,14.8,1009356,1,1,0,0,VARIETY
"CO5M1C R4ILR0AD",MAS,14,14.1,1009916,1,1,1,2,VARIETY
"Pure Ruby",MAS,14,14.3,1009600,1,1,0,0,VARIETY
"Everlasting Today",EXP,12,12.1,1007336,1,0,0,0,ゲキマイ
"Everlasting Today",MAS,14.5,14.8,1009377,1,1,0,0,ゲキマイ
"The Pursuit of Speed",MAS,13,13.4,1008888,1,1,0,0,VARIETY
ZEUS,MAS,14.5,14.5,1008245,1,0,0,0,VARIETY
暗晦にハイライト,MAS,14.5,14.5,1009346,1,1,0,0,ORIGINAL
8-EM,MAS,14.5,14.8,1008844,1,0,0,0,ORIGINAL
"Killing Rhythm",EXP,14,14.3,1009352,1,0,0,0,ORIGINAL
"Killing Rhythm",MAS,15,15.3,1008417,1,1,0,0,ORIGINAL
METEOR,EXP,9.5,9.5,1008716,1,0,0,0,niconico
METEOR,MAS,11.5,11.8,1010000,1,1,1,0,niconico
ワールズエンド・ダンスホール,EXP,9,9,995848,1,0,0,0,niconico
ワールズエンド・ダンスホール,MAS,12.5,12.8,993049,1,0,0,0,niconico
YURUSHITE,EXP,13.5,13.8,1003571,1,0,0,0,ゲキマイ
YURUSHITE,MAS,15,15.1,1008070,1,0,0,0,ゲキマイ
ユメキキョウ,MAS,14,14,1009696,1,1,0,0,ORIGINAL
"Black Swan Lake",MAS,14,14.3,1009717,1,1,0,0,ORIGINAL
"GIGA DRIVE",EXP,13.5,13.6,1009317,1,0,0,0,ORIGINAL
"GIGA DRIVE",MAS,15,15.1,1007755,1,0,0,0,ORIGINAL
Rebellion,EXP,14,14.1,1008721,1,0,0,0,ORIGINAL
Rebellion,MAS,15,15.4,1007680,1,0,0,0,ORIGINAL
テオ,EXP,8,8,1003857,1,0,0,0,niconico
テオ,MAS,13,13.4,1009974,1,1,1,2,niconico
ハイセンスナンセンス,MAS,14,14.4,1008189,1,0,0,0,niconico
デンパラダイム,MAS,14,14,1009928,1,1,1,0,niconico
"星の器～STAR OF ANDROMEDA",MAS,14.5,14.5,1008700,1,0,0,0,東方Project
"Vibrant Verve",MAS,14,14.1,1009247,1,0,0,0,ORIGINAL
燃えてもエンジョイ！宛城、炎上！！,MAS,14,14.3,1006170,1,0,0,0,イロドリミドリ
